[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:17][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:18][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:19][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[02:17:20][INFO] mutation-deterministic: Generated advanced deterministic mutation 2 => /home/dhia/browser-fuzzer/Dissertation/logger/run_20250318_012252/round_002/mutations/mutated_0002.html
